4Flex PureGel żel 0,1 g/g 100 g	bol
A-ALPINOL Płyn kasztan.pielęgn.d/skóry - - 100 ml	bol
A-ALPINOL Płyn pielęgn.d/skóry - - 100 ml	bol
ACERIN COOL RELAX chłodzący żel na opuchnięte i zmęczone nogi - - 150 ml	bol
Acerin Cool Relax Żel chłodząco-relaksuj. - - 75 ml	bol
ACTIVPLAST COLD Plaster chłodzący - - 1 szt.	bol
ACTIVPLAST COLD Plaster chłodzący - - 20 szt.	bol
ACTIVPLAST TERMO Plaster rozgrzewający - - 10 szt.	bol
ACTIVPLAST TERMO Plaster rozgrzewający okład - 1 szt.	bol
Actiżel - - 75 g (tub.)	bol
Actiżel saszet. - 7,5 g	bol
Aktywny Żel glukozamina Optimal - - 200 ml (tub.)	bol
ALPA Francówka Konopie roztw. - 160 ml	bol
ALPA Francówka płyn - 160 ml	bol
ALPA Francówka płyn - 60 ml	bol
Alpa Leśna płyn - 160 ml	bol
Alpa Leśna płyn - 60 ml	bol
ALPENBALM Balsam z sadła świstaka maść - 60 g	bol
Alpenbalm Termoterapia balsam - 60 g	bol
ALPENKRAUTER Balsam ziołowy - - 270 ml	bol
ALPINE HERBS Żel żywokostowy - - 60 g	bol
Alta Medic kwaśna woda - żel - - 100 ml	bol
Altac-Emo żel 0,01 g/g 75 g (tub.)	bol
Altacet tabl. 1 g 6 tabl. (1 blist. po 6 tabl.)	bol
Altacet żel 0,01 g/g 75 g (tub.)	bol
ALTAGEL Żel - - 125 ml	bol
Altaminium APTEO z nagietkiem żel - 75 g	bol
Altaziaja żel 0,01 g/g 75 g (tub.)	bol
Altażel Oceanic żel 0,01 g/g 75 g (tub.)	bol
ALTER HEIDESCHAFER Maść z arniką - - 250 ml	bol
ANIDA ACERIN Cool Fresh Spray chłodzn/zmęcz.opuch.nogi spray - 150 ml	bol
Arcalen maść - 30 g	bol
Argol Rheuma maść rozgrzewająca maść - 40 g	bol
Arnica Fast Żel - - 50 g	bol
Arnigel żel - 45 g (tub. aluminiowa)	bol
Arnigel żel - 45 g (tub. z aplik. roll-on)	bol
Arnithei żel 24 g/100g 100 g	bol
Arnithei żel 24 g/100g 50 g	bol
Aroma-Activ maść - 30 g	bol
Arthrostop Ochronny do masażu żel - 100 ml	bol
Artresan Active Krem pielęgn.-ochronny - - 75 ml	bol
Artresan Comfort Krem Zmniejsza dyskomfort mięśn.-szkielet.stawów - - 75 ml	bol
Artresan Kapsaicyna Maść w sztyfcie - - 25 ml	bol
Artrożel - - 100 ml	bol
ASTRON Olej żywokostowy z gojnikiem 100ml	bol
AulinDol żel 0,03 g/g 100 g (tub.)	bol
AulinDol żel 0,03 g/g 50 g (tub.)	bol
Bals Sulphur żel żel 96,5 g/100g 300 g	bol
Balsam Koński rozgrzewający - - 500 ml	bol
Balsam Kręgowy Ojca Grzegorza zioł. - - 100 g	bol
Balsam Papaveri maść - 250 ml	bol
Balsam Świątynia Niebios - - 3,5 g	bol
Balsam Świątynia Niebios maść - 19 g	bol
Balsam z arniki d/piel.skóry - - 250 ml	bol
Balsam z czosnkiem niedźwiedzim - - 200 ml	bol
Balsam z Sadła Świstaka - - 50 ml	bol
Balsam z Sadła Świstaka Alpenbalm - - 60 g	bol
Balsam z Sadła Świstaka Alpenbalm Termoterapia - - 60 g	bol
BALSAM Z WYCIĄGIEM Z KASZTANOWCA I LIŚCI CZERW.WINOGR.HERBAMEDICUS - - 250 ml	bol
Balsam z wyciągiem z korzenia diabelskiego pazura - - 250 ml	bol
Balsamum Mentholi Compositum maść (0,2g+0,025g)/g 30 g	bol
Bengay Maść Przeciwbólowa - (0,15g+0,1g)/g 50 g	bol
Biofreeze Żel - - 1 tub.	bol
BIOMAŚĆ ARNIKA maść - 50 ml	bol
BIOMAŚĆ CZARCI PAZUR - - 50 ml	bol
BIOMAŚĆ NAGIETEK maść - 50 ml	bol
BISZOLIN Balsam mineralny z biszofitem - - 100 g	bol
BISZOLIN Balsam mineralny z biszofitem - - 190 g	bol
BOIRON ARNICREME krem - 70 g	bol
Borowinowa kostka iwonicka okład - 1 kg	bol
BORSUCZA MAŚĆ Szwajcarska Herbamedicus - - 125 ml	bol
BORSUCZA MAŚĆ Szwajcarska maść - 50 ml	bol
BROMEDIN SUPER HOT Maść rozgrzewająca - - 250 g	bol
Capsagamma krem 0,053 g/100g 40 g	bol
CAPSIDIUM Żel z kapsaicyną - - 50 g	bol
Capsigel N emul.na skór. - 40 g (tub.)	bol
Cephamed Plaster rozgrzewający 9 cm x 14 cm Display plast. - 50 szt.	bol
Cephamed Plaster rozgrzewający 9 cm x14 cm plast. - 1 szt.	bol
Chłodząca Maść Końska Optimal - - 250 ml	bol
Ciechocinski Ług Leczniczy roztw. - 500 ml	bol
CZARCI PAZUR Maść - - 150 ml	bol
CZARCI PAZUR z rutyną i ziołami balsam - 250 ml	bol
Czarci pazur Żel - - 200 ml	bol
Czarci Pazur Żel - - 250 g	bol
CZARCI PAZUR Żel aktywny - - 150 g	bol
CZARCI PAZUR Żel aktywny - - 350 g	bol
CZARCI PAZUR Żel aktywny FARM-VIX - - 250 ml	bol
Czarci Pazur żel do ciała - - 250 ml	bol
Czarci Pazur Żel z żywokostem i MSM - - 350 g	bol
CZARCI PAZUR Żel z żywokostem i MSM FARM-VIX - - 250 ml	bol
CZARCI PLASTER Rozgrzewający Plaster z kapsaicyną - - 1 szt.	bol
CZARCI PLASTER Rozgrzewający Plaster z kapsaicyną - - 50 szt.	bol
DERMENTOL Żel chłodzący - - 150 g	bol
DIABELSKI (CZARCI) PAZUR Balsam - - 200 ml	bol
Diabelski Pazur z alantoiną 250 ml 1+1 Linia Natury Sewmed - - 1 zest.	bol
Diclac Lipogel żel 0,01 g/g 100 g	bol
Diclac Lipogel żel 0,01 g/g 100 g (tub.)	bol
Diclac Lipogel żel 0,01 g/g 50 g (tub.)	bol
Diclac Lipogel żel 0,01 g/g 50 g (tub.)	bol
Diclofenac APTEO MED żel 0,01 g/g 100 g (tub.)	bol
Diclofenac APTEO MED żel 0,01 g/g 60 g	bol
Diclofenac Teva (Dicloratio gel) żel 0,01 g/g 100 g (tub.)	bol
Diclofenacum Fastum żel 0,01 g/g 100 g (tub.)	bol
Diclofenacum Fastum żel 0,01 g/g 50 g (tub.)	bol
Diclotica żel 0,01 g/g 100 g	bol
Dicloziaja żel 0,01 g/g 100 g (tuba)	bol
Dicloziaja żel 0,01 g/g 50 g (tuba)	bol
Dicloziaja żel 0,0116 g/g 100 g (tub.)	bol
Dicloziaja żel 0,0116 g/g 50 g (tub.)	bol
Difortan żel 0,1 g/g 1 tub. po 50 g	bol
Difortan żel 0,1 g/g 100 g (tub.)	bol
Diklofenak Omega Pharma (Diklofenak LGO) żel 0,01 g/g 100 g (tub.)	bol
Diklofenak Omega Pharma (Diklofenak LGO) żel 0,01 g/g 50 g (tub.)	bol
DIKY 4% płyn do natrys.na skór. 0,04 g/g 30 ml (but.)	bol
Dip Hot Rozgrzewający krem (0,128g+0,0591g+0,01 67 g	bol
Dip Rilif żel (0,05g+0,03g)/g 100 g (tub.)	bol
Dip Rilif żel (0,05g+0,03g)/g 50 g (tub.)	bol
Dolgit Gel żel 0,05 g/g 50 g (tub.)	bol
Dolgit krem 0,05 g/g 100 g (tub.)	bol
Dolgit krem 0,05 g/g 50 g (tub.)	bol
Dolgit plaster rozgrzewający plast. - 1 plast.	bol
Dolgit plastry rozgrzewające - - 10 plast.	bol
Elmetacin aer.do stos.zewn., roztw. 0,01 g/g 100 ml	bol
Elmetacin aer.do stos.zewn., roztw. 0,01 g/g 100 ml (but.)	bol
Elmetacin aer.do stos.zewn., roztw. 0,01 g/g 100 ml (butelka)	bol
Elmetacin aer.do stos.zewn., roztw. 0,01 g/g 100 ml (butelka)	bol
Elmetacin aer.do stos.zewn., roztw. 0,01 g/g 100 ml (butelka)	bol
Elmetacin aer.do stos.zewn., roztw. 0,01 g/g 100 ml (butelka)	bol
Elmetacin aer.do stos.zewn., roztw. 0,01 g/g 50 ml	bol
Elmetacin aer.na skór., roztw. 0,01 g/g 100 ml	bol
Elmetacin aer.na skór., roztw. 0,01 g/g 100 ml	bol
